Year_Game,Cardboard_lbs,Cans_Bottles_lbs,Compost_lbs,Paper_lbs,Fryer_Grease,Wrap_it_Up_food_donation,Pallets,Specials,Attendance,Trash_lbs
2009 Game 1,755,4893,5126,0,627,0,0,0,,3672
2009 Game 2,1059,4760,5633,0,627,0,0,0,,2093
2009 Game 3,918,5123,5322,0,627,0,0,0,,3279
2009 Game 4,1111,2986,4061,433,627,0,0,0,,2730
2009 Game 5,747,3798,4945,122,627,0,0,0,,2677
2009 Game 6,850,4138,4925,45,627,0,0,0,,3099
2010 Game 1,1186,2110,5370,71,127,0,0,0,,4469
2010 Game 2,1571,3071,5868,167,524,0,0,0,,4521
2010 Game 3,1091,2186,5048,168,288,0,0,0,,3123
2010 Game 4,1119,2670,5393,136,289,0,0,0,,3729
2010 Game 5,1096,1897,4134,60,441,0,0,0,,3294
2010 Game 6,1217,2427,4587,192,441,0,0,0,,2943
2011 Game 1,1025,2827,5590,73,225,0,0,0,,5322
2011 Game 2,1223,2816,7865,160,285,0,0,0,,5262
2011 Game 3,1013.5,2659,7729,152,245,0,0,0,,1623
2011 Game 4,1653,2115,5951,338,551,0,0,0,,4928
2011 Game 5,884,2744,5548,400,550,0,0,0,,3905
2012 Game 1,784,2373,6499,357,172,0,0,0,,2662.2
2012 Game 2,1096,2195,2757,647,622,0,0,0,,2799.2
2012 Game 3,1230,1944,5436,44,382,0,0,0,,3029
2012 Game 4,1067,1606,6468,641,273,0,0,0,,1710.8
2012 Game 5,1004,1205,4552,585,273,0,0,0,,1916.2
2012 Game 6,987,1232,4915,490,225,0,0,0,,2110.6
2013 Game 1,588,1067,6000,367,210,0,0,0,,1344
2013 Game 2,1056,1958,6490,36,506,0,0,137,,2824
2013 Game 3,768,1355,4951,596,82,0,0,205,,1695.3
2013 Game 4,1058,1516,5875,503,82,0,0,193,,1776.2
2013 Game 5,831,1653,6020,476,82,0,0,164,,1575.4
2013 Game 6,742,1242,5518,335,82,0,0,133,,2045
2014 Game 1,500,2202.3,6320,37,255,100,176,0,,811.5
2014 Game 2,500,1830,5180,245,397,100,176,0,,822.1
2014 Game 3,600,1133,5700,72,487,0,220,0,,949.7
2014 Game 4,580,1737,4060,0,270,0,440,0,,771
2014 Game 5,380,998.1,4761,21,412,120,176,0,,609.9
2014 Game 6,380,2261,3185,0,225,120,176,0,,1030
2015 Game 1,1270,2083,5611,376,330,0,616,0,,1610.8
2015 Game 2,622,1028,5845,78,419,0,176,0,,1502.9
2015 Game 3,702,2530,7724,403,265,0,176,0,,2246.4
2015 Game 4,680,2053,8616,256,255,0,176,0,,3009.2
2015 Game 5,711,1730,5281,301,135,0,176,0,,2212
2015 Game 6,708,2054,7666,172,330,0,220,0,,1917.5
2016 Game 1,753,1981,13572,542,210,0,1056,0,,2502
2016 Game 2,660,2738,10297,257,165,0,1364,0,,2580
2016 Game 3,580,3477,9881,79,225,0,924,0,,2332
2016 Game 4,480,3059,8701,523,247,0,968,0,,2640
2016 Game 5,660,3236,8910,145,150,0,836,0,,2877
2016 Game 6,680,3946,9504,280,112,0,660,0,,2280
2017 Game 1,426,2225,10026,250,70,250,1320,0,43822,1919
2017 Game 2,267,1738,7384,338,70,100,0,0,44318,1504.14
2017 Game 3,400,2818,11522,308,70,170,455,0,47666,3522.32
2017 Game 4,200,2251,8995,456,70,100,105,0,49976,3549.15
2017 Game 5,349,2099,8822,385,70,200,70,0,47216,1583.02
2017 Game 6,332,3591,8485,484,70,170,350,0,49337,3075.69
2018 Game 1,663,2240,8100,300,70,200,440,0,29969,2147
2018 Game 2,543,2528,7492,376,70,200,440,0,36857,1857.57
2018 Game 3,966,3969,8719,400,70,200,440,0,42168,1321.47
2018 Game 4,960,4089,8953,609,70,200,440,0,35359,2868.4
2018 Game 5,774,2959,7029,314,70,200,440,0,29273,1970
2018 Game 6,700,2742,6320,300,70,200,440,0,16156,1760
2019 Game 1,1100,7799,1294,535,70,200,440,0,52829,10169
2019 Game 2,1000,3388,5887,440,70,200,440,0,49282,1770
2019 Game 3,875,3781,8651,200,70,200,440,0,45786,2500
2019 Game 4,1180,4519,8230,200,70,200,440,0,48913,2770
2019 Game 5,1100,3525,9037,418,70,200,440,0,49224,2310
2019 Game 6,1000,2493,7840,677,70,200,440,0,44618,2150
2021 Game 1,2756,2994,4200,405,250.17,0,352,0,44153,2018
2021 Game 2,2756,3564,5070,405,250.17,0,352,0,47482,1394.07
2021 Game 3,2756,3240,5000,405,250.17,0,352,0,48197,2360
2021 Game 4,2756,4274,5240,405,250.17,0,352,0,44803,2199.4
2021 Game 5,2756,3539,6830,560,250.17,0,352,0,51449,2230.9
2021 Game 6,2971,3151,5139,704,250.17,0,352,0,41284,2010.7
2022 Game 1,3180,6407,4290,200,250,0,1552,20,35629,3859.6
2022 Game 2,2756,4800,5210,200,250,266,1552,20,28156,2009.2
2022 Game 3,3180,3280,5380,200,250,0,1552,100,34098,2689.3
2022 Game 4,2756,3640,5220,200,250,0,1552,100,27978,2513.1
2022 Game 5,3342,3450,5700,200,250,0,1552,52,25364,2270.6
2022 Game 6,2580,1960,4380,200,250,168,1552,80,16180,2226.4
